YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t,average_annual_growth_percent
2024,White,Riesling,OLIFANTSRIVER,High,6600,
2024,White,Other White,OLIFANTSRIVER,High,6600,
2024,Red,Cabernet Franc,OLIFANTSRIVER,High,7282,
2024,Red,Cabernet Sauvignon,OLIFANTSRIVER,High,6364,
2024,Red,Carignan,OLIFANTSRIVER,High,6364,
2024,Red,Cinsaut,OLIFANTSRIVER,High,6544,
2024,Red,Gamay noir,OLIFANTSRIVER,High,7282,
2024,Red,Merlot,OLIFANTSRIVER,High,6364,
2024,Red,Petit Verdot,OLIFANTSRIVER,High,7282,
2024,Red,Pinot noir,OLIFANTSRIVER,High,8423,
2024,Red,Pinotage,OLIFANTSRIVER,High,6364,
2024,Red,Roobernet,OLIFANTSRIVER,High,5054,
2024,Red,Ruby Cabernet,OLIFANTSRIVER,High,5054,
2024,Red,Shiraz,OLIFANTSRIVER,High,6364,
2024,Red,Tinta Barocca,OLIFANTSRIVER,High,5054,
2024,Red,Other Red,OLIFANTSRIVER,High,7282,
2024,White,Bukettraube,NORTHERN CAPE,Low ,1850,
2024,White,Crouchen,NORTHERN CAPE,Low ,1850,
2024,White,Chardonnay,NORTHERN CAPE,Low ,6364,
2024,White,Chenin Blanc,NORTHERN CAPE,Low ,1850,
2024,White,Clairette blanche,NORTHERN CAPE,Low ,3089,
2024,White,Colombar,NORTHERN CAPE,Low ,1850,
2024,White,Palomino,NORTHERN CAPE,Low ,4400,
2024,White,Gewurztraminer,NORTHERN CAPE,Low ,1850,
2024,White,Muscat d'Alexandrie,NORTHERN CAPE,Low ,3089,
2024,White,Muscat de Frontignan,NORTHERN CAPE,Low ,1850,
2024,White,Pinot gris,NORTHERN CAPE,Low ,5055,
2024,White,Sauvignon blanc,NORTHERN CAPE,Low ,4400,
2024,White,Sémillon,NORTHERN CAPE,Low ,4400,
2024,White,Viognier,NORTHERN CAPE,Low ,3745,
2024,White,Riesling,NORTHERN CAPE,Low ,1850,
2024,White,Other White,NORTHERN CAPE,Low ,1850,
2024,Red,Cabernet Franc,NORTHERN CAPE,Low ,5055,
2024,Red,Cabernet Sauvignon,NORTHERN CAPE,Low ,4400,
2024,Red,Carignan,NORTHERN CAPE,Low ,5710,
2024,Red,Cinsaut,NORTHERN CAPE,Low ,5710,
2024,Red,Gamay noir,NORTHERN CAPE,Low ,5055,
2024,Red,Merlot,NORTHERN CAPE,Low ,5710,
2024,Red,Petit Verdot,NORTHERN CAPE,Low ,5055,
2024,Red,Pinot noir,NORTHERN CAPE,Low ,7769,
2024,Red,Pinotage,NORTHERN CAPE,Low ,5055,
2024,Red,Roobernet,NORTHERN CAPE,Low ,4400,
2024,Red,Ruby Cabernet,NORTHERN CAPE,Low ,3754,
2024,Red,Shiraz,NORTHERN CAPE,Low ,6364,
2024,Red,Tinta Barocca,NORTHERN CAPE,Low ,4400,
2024,Red,Other Red,NORTHERN CAPE,Low ,5055,
2024,White,Bukettraube,NORTHERN CAPE,High,2085,
2024,White,Crouchen,NORTHERN CAPE,High,2085,
2024,White,Chardonnay,NORTHERN CAPE,High,20000,
2024,White,Chenin Blanc,NORTHERN CAPE,High,3744,
2024,White,Clairette blanche,NORTHERN CAPE,High,3744,
2024,White,Colombar,NORTHERN CAPE,High,3744,
2024,White,Palomino,NORTHERN CAPE,High,5709,
2024,White,Gewurztraminer,NORTHERN CAPE,High,2085,
2024,White,Muscat d'Alexandrie,NORTHERN CAPE,High,4399,
2024,White,Muscat de Frontignan,NORTHERN CAPE,High,2085,
2024,White,Pinot gris,NORTHERN CAPE,High,5709,
