Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
White,Muscat d'Alexandrie,OLIFANTSRIVER,Low ,15730,
White,Muscat de Frontignan,OLIFANTSRIVER,Low ,15730,
White,Pinot gris,OLIFANTSRIVER,Low ,15730,
White,Sauvignon blanc,OLIFANTSRIVER,Low ,15742,
White,Sémillon,OLIFANTSRIVER,Low ,15730,
White,Viognier,OLIFANTSRIVER,Low ,15730,
White,Riesling,OLIFANTSRIVER,Low ,15730,
White,Other White,OLIFANTSRIVER,Low ,15730,
Red,Cabernet Franc,OLIFANTSRIVER,Low ,13330,
Red,Cabernet Sauvignon,OLIFANTSRIVER,Low ,11498,
Red,Carignan,OLIFANTSRIVER,Low ,13330,
Red,Cinsaut,OLIFANTSRIVER,Low ,6082,
Red,Gamay noir,OLIFANTSRIVER,Low ,13330,
Red,Merlot,OLIFANTSRIVER,Low ,11464,
Red,Petit Verdot,OLIFANTSRIVER,Low ,13330,
Red,Pinot noir,OLIFANTSRIVER,Low ,13330,
Red,Pinotage,OLIFANTSRIVER,Low ,13872,
Red,Roobernet,OLIFANTSRIVER,Low ,13330,
Red,Ruby Cabernet,OLIFANTSRIVER,Low ,13330,
Red,Shiraz,OLIFANTSRIVER,Low ,11933,
Red,Tinta Barocca,OLIFANTSRIVER,Low ,13330,
Red,Other Red,OLIFANTSRIVER,Low ,13330,
White,Bukettraube,OLIFANTSRIVER,High,17968,
White,Crouchen,OLIFANTSRIVER,High,17968,
White,Chardonnay,OLIFANTSRIVER,High,14170,
White,Chenin Blanc,OLIFANTSRIVER,High,28780,
White,Clairette blanche,OLIFANTSRIVER,High,17968,
White,Colombar,OLIFANTSRIVER,High,31410,
White,Palomino,OLIFANTSRIVER,High,17968,
White,Gewurztraminer,OLIFANTSRIVER,High,17968,
White,Muscat d'Alexandrie,OLIFANTSRIVER,High,17968,
White,Muscat de Frontignan,OLIFANTSRIVER,High,17968,
White,Pinot gris,OLIFANTSRIVER,High,17968,
White,Sauvignon blanc,OLIFANTSRIVER,High,19140,
White,Sémillon,OLIFANTSRIVER,High,17968,
White,Viognier,OLIFANTSRIVER,High,17968,
White,Riesling,OLIFANTSRIVER,High,17968,
White,Other White,OLIFANTSRIVER,High,17968,
Red,Cabernet Franc,OLIFANTSRIVER,High,18160,
Red,Cabernet Sauvignon,OLIFANTSRIVER,High,13580,
Red,Carignan,OLIFANTSRIVER,High,18160,
Red,Cinsaut,OLIFANTSRIVER,High,6082,
Red,Gamay noir,OLIFANTSRIVER,High,18160,
Red,Merlot,OLIFANTSRIVER,High,13100,
Red,Petit Verdot,OLIFANTSRIVER,High,18160,
Red,Pinot noir,OLIFANTSRIVER,High,18160,
Red,Pinotage,OLIFANTSRIVER,High,19170,
Red,Roobernet,OLIFANTSRIVER,High,18160,
Red,Ruby Cabernet,OLIFANTSRIVER,High,18160,
Red,Shiraz,OLIFANTSRIVER,High,14290,2357
Red,Tinta Barocca,OLIFANTSRIVER,High,18160,
Red,Other Red,OLIFANTSRIVER,High,18160,
White,Bukettraube,NORTHERN CAPE,Low ,20196,
White,Crouchen,NORTHERN CAPE,Low ,20196,
White,Chardonnay,NORTHERN CAPE,Low ,8007,
White,Chenin Blanc,NORTHERN CAPE,Low ,27698,
White,Clairette blanche,NORTHERN CAPE,Low ,20196,
White,Colombar,NORTHERN CAPE,Low ,29831,
White,Palomino,NORTHERN CAPE,Low ,20196,
White,Gewurztraminer,NORTHERN CAPE,Low ,20196,
White,Muscat d'Alexandrie,NORTHERN CAPE,Low ,20196,
White,Muscat de Frontignan,NORTHERN CAPE,Low ,20196,
White,Pinot gris,NORTHERN CAPE,Low ,20196,
White,Sauvignon blanc,NORTHERN CAPE,Low ,7900,
White,Sémillon,NORTHERN CAPE,Low ,20196,
White,Viognier,NORTHERN CAPE,Low ,20196,
White,Riesling,NORTHERN CAPE,Low ,20196,
White,Other White,NORTHERN CAPE,Low ,20196,
Red,Cabernet Franc,NORTHERN CAPE,Low ,12943,
Red,Cabernet Sauvignon,NORTHERN CAPE,Low ,4108,
Red,Carignan,NORTHERN CAPE,Low ,12943,
Red,Cinsaut,NORTHERN CAPE,Low ,6082,
Red,Gamay noir,NORTHERN CAPE,Low ,12943,
Red,Merlot,NORTHERN CAPE,Low ,6740,
Red,Petit Verdot,NORTHERN CAPE,Low ,12943,
Red,Pinot noir,NORTHERN CAPE,Low ,12943,
Red,Pinotage,NORTHERN CAPE,Low ,4855,
Red,Roobernet,NORTHERN CAPE,Low ,12943,
Red,Ruby Cabernet,NORTHERN CAPE,Low ,12943,
Red,Shiraz,NORTHERN CAPE,Low ,14743,
Red,Tinta Barocca,NORTHERN CAPE,Low ,12943,
Red,Other Red,NORTHERN CAPE,Low ,12943,
White,Bukettraube,NORTHERN CAPE,High,24970,
White,Crouchen,NORTHERN CAPE,High,24970,
White,Chardonnay,NORTHERN CAPE,High,10550,
White,Chenin Blanc,NORTHERN CAPE,High,31740,
White,Clairette blanche,NORTHERN CAPE,High,24970,
White,Colombar,NORTHERN CAPE,High,31210,
White,Palomino,NORTHERN CAPE,High,24970,
White,Gewurztraminer,NORTHERN CAPE,High,24970,
White,Muscat d'Alexandrie,NORTHERN CAPE,High,24970,
White,Muscat de Frontignan,NORTHERN CAPE,High,24970,
White,Pinot gris,NORTHERN CAPE,High,24970,
White,Sauvignon blanc,NORTHERN CAPE,High,9311,
White,Sémillon,NORTHERN CAPE,High,24970,
White,Viognier,NORTHERN CAPE,High,24970,
White,Riesling,NORTHERN CAPE,High,24970,
White,Other White,NORTHERN CAPE,High,24970,
Red,Cabernet Franc,NORTHERN CAPE,High,22180,
Red,Cabernet Sauvignon,NORTHERN CAPE,High,10920,
Red,Carignan,NORTHERN CAPE,High,22180,
Red,Cinsaut,NORTHERN CAPE,High,6082,
Red,Gamay noir,NORTHERN CAPE,High,22180,
Red,Merlot,NORTHERN CAPE,High,9930,
Red,Petit Verdot,NORTHERN CAPE,High,22180,
Red,Pinot noir,NORTHERN CAPE,High,22180,
Red,Pinotage,NORTHERN CAPE,High,14920,
Red,Roobernet,NORTHERN CAPE,High,22180,
Red,Ruby Cabernet,NORTHERN CAPE,High,22180,
Red,Shiraz,NORTHERN CAPE,High,19500,4757
Red,Tinta Barocca,NORTHERN CAPE,High,22180,
Red,Other Red,NORTHERN CAPE,High,22180,
White,Bukettraube,KLEIN KAROO   ,Low ,10506,
White,Crouchen,KLEIN KAROO   ,Low ,10506,
White,Chardonnay,KLEIN KAROO   ,Low ,9330,
White,Chenin Blanc,KLEIN KAROO   ,Low ,19071,
White,Clairette blanche,KLEIN KAROO   ,Low ,10506,
White,Colombar,KLEIN KAROO   ,Low ,22120,
White,Palomino,KLEIN KAROO   ,Low ,10506,
White,Gewurztraminer,KLEIN KAROO   ,Low ,10506,
White,Muscat d'Alexandrie,KLEIN KAROO   ,Low ,10506,
White,Muscat de Frontignan,KLEIN KAROO   ,Low ,10506,
White,Pinot gris,KLEIN KAROO   ,Low ,10506,
White,Sauvignon blanc,KLEIN KAROO   ,Low ,5542,
White,Sémillon,KLEIN KAROO   ,Low ,10506,
White,Viognier,KLEIN KAROO   ,Low ,10506,
White,Riesling,KLEIN KAROO   ,Low ,10506,
White,Other White,KLEIN KAROO   ,Low ,10506,
Red,Cabernet Franc,KLEIN KAROO   ,Low ,10753,
Red,Cabernet Sauvignon,KLEIN KAROO   ,Low ,6045,
Red,Carignan,KLEIN KAROO   ,Low ,10753,
Red,Cinsaut,KLEIN KAROO   ,Low ,4085,
Red,Gamay noir,KLEIN KAROO   ,Low ,10753,
Red,Merlot,KLEIN KAROO   ,Low ,8575,
Red,Petit Verdot,KLEIN KAROO   ,Low ,10753,
Red,Pinot noir,KLEIN KAROO   ,Low ,10753,
Red,Pinotage,KLEIN KAROO   ,Low ,10191,
Red,Roobernet,KLEIN KAROO   ,Low ,10753,
Red,Ruby Cabernet,KLEIN KAROO   ,Low ,10753,
Red,Shiraz,KLEIN KAROO   ,Low ,7952,
Red,Tinta Barocca,KLEIN KAROO   ,Low ,10753,
Red,Other Red,KLEIN KAROO   ,Low ,10753,
White,Bukettraube,KLEIN KAROO   ,High,14330,
White,Crouchen,KLEIN KAROO   ,High,14330,
White,Chardonnay,KLEIN KAROO   ,High,11630,
White,Chenin Blanc,KLEIN KAROO   ,High,21910,
White,Clairette blanche,KLEIN KAROO   ,High,14330,
White,Colombar,KLEIN KAROO   ,High,26500,
White,Palomino,KLEIN KAROO   ,High,14330,
White,Gewurztraminer,KLEIN KAROO   ,High,14330,
White,Muscat d'Alexandrie,KLEIN KAROO   ,High,14330,
White,Muscat de Frontignan,KLEIN KAROO   ,High,14330,
White,Pinot gris,KLEIN KAROO   ,High,14330,
White,Sauvignon blanc,KLEIN KAROO   ,High,8540,
White,Sémillon,KLEIN KAROO   ,High,14330,
White,Viognier,KLEIN KAROO   ,High,14330,
White,Riesling,KLEIN KAROO   ,High,14330,
White,Other White,KLEIN KAROO   ,High,14330,
Red,Cabernet Franc,KLEIN KAROO   ,High,16880,
Red,Cabernet Sauvignon,KLEIN KAROO   ,High,7930,
Red,Carignan,KLEIN KAROO   ,High,16880,
Red,Cinsaut,KLEIN KAROO   ,High,4085,
Red,Gamay noir,KLEIN KAROO   ,High,16880,
Red,Merlot,KLEIN KAROO   ,High,8710,
Red,Petit Verdot,KLEIN KAROO   ,High,16880,
Red,Pinot noir,KLEIN KAROO   ,High,16880,
Red,Pinotage,KLEIN KAROO   ,High,10212,
Red,Roobernet,KLEIN KAROO   ,High,16880,
Red,Ruby Cabernet,KLEIN KAROO   ,High,16880,
Red,Shiraz,KLEIN KAROO   ,High,8580,628
Red,Tinta Barocca,KLEIN KAROO   ,High,16880,
Red,Other Red,KLEIN KAROO   ,High,16880,
White,Bukettraube,PAARL         ,Low ,10379,
White,Crouchen,PAARL         ,Low ,10379,
White,Chardonnay,PAARL         ,Low ,8206,
White,Chenin Blanc,PAARL         ,Low ,9702,
White,Clairette blanche,PAARL         ,Low ,10379,
White,Colombar,PAARL         ,Low ,11716,
White,Palomino,PAARL         ,Low ,10379,
White,Gewurztraminer,PAARL         ,Low ,10379,
White,Muscat d'Alexandrie,PAARL         ,Low ,10379,
White,Muscat de Frontignan,PAARL         ,Low ,10379,
