YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,Red,Gamay noir,WORCESTER     ,High,10791
2025,Red,Merlot,WORCESTER     ,High,10064
2025,Red,Petit Verdot,WORCESTER     ,High,9338
2025,Red,Pinot noir,WORCESTER     ,High,14422
2025,Red,Pinotage,WORCESTER     ,High,8612
2025,Red,Roobernet,WORCESTER     ,High,7055
2025,Red,Ruby Cabernet,WORCESTER     ,High,5603
2025,Red,Shiraz,WORCESTER     ,High,12243
2025,Red,Tinta Barocca,WORCESTER     ,High,5603
2025,Red,Other Red,WORCESTER     ,High,8612
2025,White,Bukettraube,OLIFANTSRIVER,Low ,4877
2025,White,Crouchen,OLIFANTSRIVER,Low ,11518
2025,White,Chardonnay,OLIFANTSRIVER,Low ,4877
2025,White,Chenin Blanc,OLIFANTSRIVER,Low ,4151
2025,White,Clairette blanche,OLIFANTSRIVER,Low ,6330
2025,White,Colombar,OLIFANTSRIVER,Low ,4151
2025,White,Palomino,OLIFANTSRIVER,Low ,4877
2025,White,Gewurztraminer,OLIFANTSRIVER,Low ,6330
2025,White,Muscat d'Alexandrie,OLIFANTSRIVER,Low ,4877
2025,White,Muscat de Frontignan,OLIFANTSRIVER,Low ,4877
2025,White,Pinot gris,OLIFANTSRIVER,Low ,6330
2025,White,Sauvignon blanc,OLIFANTSRIVER,Low ,5604
2025,White,Sémillon,OLIFANTSRIVER,Low ,5604
2025,White,Viognier,OLIFANTSRIVER,Low ,4877
2025,White,Riesling,OLIFANTSRIVER,Low ,8613
2025,White,Other White,OLIFANTSRIVER,Low ,4877
2025,Red,Cabernet Franc,OLIFANTSRIVER,Low ,8613
2025,Red,Cabernet Sauvignon,OLIFANTSRIVER,Low ,6330
2025,Red,Carignan,OLIFANTSRIVER,Low ,5604
2025,Red,Cinsaut,OLIFANTSRIVER,Low ,5604
2025,Red,Gamay noir,OLIFANTSRIVER,Low ,10065
2025,Red,Merlot,OLIFANTSRIVER,Low ,5604
2025,Red,Petit Verdot,OLIFANTSRIVER,Low ,7056
2025,Red,Pinot noir,OLIFANTSRIVER,Low ,5604
2025,Red,Pinotage,OLIFANTSRIVER,Low ,4877
2025,Red,Roobernet,OLIFANTSRIVER,Low ,6330
2025,Red,Ruby Cabernet,OLIFANTSRIVER,Low ,4151
2025,Red,Shiraz,OLIFANTSRIVER,Low ,5604
2025,Red,Tinta Barocca,OLIFANTSRIVER,Low ,4877
2025,Red,Other Red,OLIFANTSRIVER,Low ,5604
2025,White,Bukettraube,OLIFANTSRIVER,High,5603
2025,White,Crouchen,OLIFANTSRIVER,High,14422
2025,White,Chardonnay,OLIFANTSRIVER,High,6329
2025,White,Chenin Blanc,OLIFANTSRIVER,High,5603
2025,White,Clairette blanche,OLIFANTSRIVER,High,11517
2025,White,Colombar,OLIFANTSRIVER,High,5603
2025,White,Palomino,OLIFANTSRIVER,High,7055
2025,White,Gewurztraminer,OLIFANTSRIVER,High,7055
2025,White,Muscat d'Alexandrie,OLIFANTSRIVER,High,5603
2025,White,Muscat de Frontignan,OLIFANTSRIVER,High,12969
2025,White,Pinot gris,OLIFANTSRIVER,High,7055
2025,White,Sauvignon blanc,OLIFANTSRIVER,High,7055
2025,White,Sémillon,OLIFANTSRIVER,High,11517
2025,White,Viognier,OLIFANTSRIVER,High,5603
2025,White,Riesling,OLIFANTSRIVER,High,13696
2025,White,Other White,OLIFANTSRIVER,High,5603
2025,Red,Cabernet Franc,OLIFANTSRIVER,High,14422
2025,Red,Cabernet Sauvignon,OLIFANTSRIVER,High,7055
2025,Red,Carignan,OLIFANTSRIVER,High,6329
2025,Red,Cinsaut,OLIFANTSRIVER,High,6329
2025,Red,Gamay noir,OLIFANTSRIVER,High,10791
2025,Red,Merlot,OLIFANTSRIVER,High,6329
