Region,Category,Item,Avg_Cost
CAPE TOWN,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,349.71
CAPE TOWN,Algemene uitgawes,Admin - Sekuriteit,700.31
CAPE TOWN,Algemene uitgawes,Administrasie,4845.53
CAPE TOWN,Algemene uitgawes,Elektrisiteit,2257.16
CAPE TOWN,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",808.8
CAPE TOWN,Algemene uitgawes,Waterkoste / belasting,983.85
CAPE TOWN,Provision for renewal,Provision for renewal,17735
CAPE TOWN,Total Expenditure,Total Expenditure,81537.44
SWARTLAND,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4059
SWARTLAND,Direkte koste,Herstel- en bindmateriaal,184
SWARTLAND,Direkte koste,Koelkamer huur,0
SWARTLAND,Direkte koste,"Kunsmis, blaar- en grondontledings",1994
SWARTLAND,Direkte koste,Onkruiddoder,1651
SWARTLAND,Direkte koste,Pakmateriaal,0
SWARTLAND,Direkte koste,"Saad, organiese bemesting en materiaal",277
SWARTLAND,Direkte koste,Veevoer en medisyne / Droogmiddels,0
SWARTLAND,Arbeid,Permanente arbeid,9799
SWARTLAND,Arbeid,Seisoensarbeid en kontrakwerk,5558
SWARTLAND,Arbeid,Toesig en bestuurshulp,1443
SWARTLAND,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,3294
SWARTLAND,Meganisasie,Herstel. onderdele en reparasies,2577
SWARTLAND,Meganisasie,Lisensies en versekering - Voertuie / losbates,381
SWARTLAND,Meganisasie,Vervoer gehuur,920
SWARTLAND,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),854
SWARTLAND,Vaste verbeteringe,Verskering - vaste verbeteringe,232
SWARTLAND,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
SWARTLAND,Algemene uitgawes,Admin - Sekuriteit,0
SWARTLAND,Algemene uitgawes,Administrasie,2535
SWARTLAND,Algemene uitgawes,Elektrisiteit,1794
SWARTLAND,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",267
SWARTLAND,Algemene uitgawes,Waterkoste / belasting,1157
SWARTLAND,Provision for renewal,Provision for renewal,14602
SWARTLAND,Total Expenditure,Total Expenditure,53578
