Region,Category,Item,Avg_Cost
CAPE SOUTH COAST,Meganisasie,Vervoer gehuur,925.85
CAPE SOUTH COAST,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1516.01
CAPE SOUTH COAST,Vaste verbeteringe,Verskering - vaste verbeteringe,969.29
CAPE SOUTH COAST,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,180.24
CAPE SOUTH COAST,Algemene uitgawes,Admin - Sekuriteit,860.72
CAPE SOUTH COAST,Algemene uitgawes,Administrasie,4335.31
CAPE SOUTH COAST,Algemene uitgawes,Elektrisiteit,2855.43
CAPE SOUTH COAST,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",850.56
CAPE SOUTH COAST,Algemene uitgawes,Waterkoste / belasting,731.29
CAPE SOUTH COAST,Provision for renewal,Provision for renewal,20207
CAPE SOUTH COAST,Total Expenditure,Total Expenditure,99009.54
CAPE TOWN,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5559.36
CAPE TOWN,Direkte koste,Herstel- en bindmateriaal,322.74
CAPE TOWN,Direkte koste,Koelkamer huur,0
CAPE TOWN,Direkte koste,"Kunsmis, blaar- en grondontledings",1686.23
CAPE TOWN,Direkte koste,Onkruiddoder,2899.63
CAPE TOWN,Direkte koste,Pakmateriaal,18.15
CAPE TOWN,Direkte koste,"Saad, organiese bemesting en materiaal",372.21
CAPE TOWN,Direkte koste,Veevoer en medisyne / Droogmiddels,0
CAPE TOWN,Arbeid,Permanente arbeid,12707.62
CAPE TOWN,Arbeid,Seisoensarbeid en kontrakwerk,10547.43
CAPE TOWN,Arbeid,Toesig en bestuurshulp,4322.57
CAPE TOWN,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,3785.55
CAPE TOWN,Meganisasie,Herstel. onderdele en reparasies,6007.53
CAPE TOWN,Meganisasie,Lisensies en versekering - Voertuie / losbates,1219.43
CAPE TOWN,Meganisasie,Vervoer gehuur,647.92
CAPE TOWN,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1198.86
CAPE TOWN,Vaste verbeteringe,Verskering - vaste verbeteringe,680.07
CAPE TOWN,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,265.98
CAPE TOWN,Algemene uitgawes,Admin - Sekuriteit,248.17
CAPE TOWN,Algemene uitgawes,Administrasie,5105.62
CAPE TOWN,Algemene uitgawes,Elektrisiteit,1949.08
CAPE TOWN,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",765.63
CAPE TOWN,Algemene uitgawes,Waterkoste / belasting,624.55
CAPE TOWN,Provision for renewal,Provision for renewal,16886
CAPE TOWN,Total Expenditure,Total Expenditure,77820.33
SWARTLAND,Direkte koste,Gewasbeskerming (swam- en insekbeheer),3848.59
SWARTLAND,Direkte koste,Herstel- en bindmateriaal,303.33
SWARTLAND,Direkte koste,Koelkamer huur,0
SWARTLAND,Direkte koste,"Kunsmis, blaar- en grondontledings",858.23
SWARTLAND,Direkte koste,Onkruiddoder,1874.08
SWARTLAND,Direkte koste,Pakmateriaal,0
SWARTLAND,Direkte koste,"Saad, organiese bemesting en materiaal",376.85
SWARTLAND,Direkte koste,Veevoer en medisyne / Droogmiddels,0
SWARTLAND,Arbeid,Permanente arbeid,8203.54
SWARTLAND,Arbeid,Seisoensarbeid en kontrakwerk,7774.34
SWARTLAND,Arbeid,Toesig en bestuurshulp,1576.55
SWARTLAND,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,3633.83
SWARTLAND,Meganisasie,Herstel. onderdele en reparasies,2924.89
SWARTLAND,Meganisasie,Lisensies en versekering - Voertuie / losbates,552.74
SWARTLAND,Meganisasie,Vervoer gehuur,887.95
SWARTLAND,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),713.06
SWARTLAND,Vaste verbeteringe,Verskering - vaste verbeteringe,288.34
SWARTLAND,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,28.19
SWARTLAND,Algemene uitgawes,Admin - Sekuriteit,104.07
SWARTLAND,Algemene uitgawes,Administrasie,1881.86
SWARTLAND,Algemene uitgawes,Elektrisiteit,1178.11
SWARTLAND,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",304.22
SWARTLAND,Algemene uitgawes,Waterkoste / belasting,1435.42
SWARTLAND,Provision for renewal,Provision for renewal,13452
SWARTLAND,Total Expenditure,Total Expenditure,52200.19
